# CORE-IF-001 semantic delta ledger
# forge_commit=78fad4069d778996c24ecf5acc5cbe0e1edea7a
# donor_commit=cc2d69425beea2c93a4000e44d49381deba8eed2
# total_rows=1923
# disposition_counts={"Forge only preservation":1422,"adapted later":370,"rejected non scope item":131}
delta_id	donor_commit	donor_path	semantic_change	forge_path	applicability	disposition	requirement_id	phase_id	task_id	regression_id	evidence
DELTA-1432	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/shop/MarketplaceAnalyticsService.java	production semantic change	src/main/java/com/enviouse/futureshops/server/shop/MarketplaceAnalyticsService.java	applicable	adapted later	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-1432	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/shop/MarketplaceAnalyticsService.java
DELTA-1433	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/shop/NearbyShopScanner.java	production semantic change	src/main/java/com/enviouse/futureshops/server/shop/NearbyShopScanner.java	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1433	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/shop/NearbyShopScanner.java
DELTA-1434	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/shop/PlayerShopBarterEscrowSavedData.java	production semantic change	none	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1434	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/shop/PlayerShopBarterEscrowSavedData.java
DELTA-1435	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/shop/PlayerShopBlockService.java	production semantic change	none	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1435	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/shop/PlayerShopBlockService.java
DELTA-1436	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/shop/PlayerShopLinkService.java	production semantic change	src/main/java/com/enviouse/futureshops/server/shop/PlayerShopLinkService.java	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1436	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/shop/PlayerShopLinkService.java
DELTA-1437	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/shop/PlayerShopRegistrySavedData.java	production semantic change	none	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1437	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/shop/PlayerShopRegistrySavedData.java
DELTA-1438	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/shop/PlayerShopSaleEscrowSavedData.java	production semantic change	none	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1438	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/shop/PlayerShopSaleEscrowSavedData.java
DELTA-1439	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/shop/PlayerShopSettlementSavedData.java	production semantic change	none	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1439	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/shop/PlayerShopSettlementSavedData.java
DELTA-1440	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/shop/ShopConfigClipboard.java	production semantic change	src/main/java/com/enviouse/futureshops/server/shop/ShopConfigClipboard.java	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1440	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/shop/ShopConfigClipboard.java
DELTA-1441	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/shop/ShopDataService.java	production semantic change	src/main/java/com/enviouse/futureshops/server/shop/ShopDataService.java	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1441	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/shop/ShopDataService.java
DELTA-1442	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/shop/ShopLimitsSavedData.java	production semantic change	none	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1442	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/shop/ShopLimitsSavedData.java
DELTA-1443	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/shop/ShopResultCode.java	production semantic change	src/main/java/com/enviouse/futureshops/server/shop/ShopResultCode.java	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1443	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/shop/ShopResultCode.java
DELTA-1444	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/shop/StockRefreshSavedData.java	production semantic change	src/main/java/com/enviouse/futureshops/server/shop/StockRefreshSavedData.java	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1444	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/shop/StockRefreshSavedData.java
DELTA-1445	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/shop/StockRefreshScheduler.java	production semantic change	src/main/java/com/enviouse/futureshops/server/shop/StockRefreshScheduler.java	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1445	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/shop/StockRefreshScheduler.java
DELTA-1446	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/transaction/NbtMatchUtil.java	production semantic change	none	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1446	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/transaction/NbtMatchUtil.java
DELTA-1447	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/transaction/ShopBarterService.java	production semantic change	none	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1447	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/transaction/ShopBarterService.java
DELTA-1448	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/transaction/ShopBuyService.java	production semantic change	none	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1448	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/transaction/ShopBuyService.java
DELTA-1449	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/transaction/ShopSellService.java	production semantic change	none	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1449	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/transaction/ShopSellService.java
DELTA-1450	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/transaction/ShopTransactionUtil.java	production semantic change	src/main/java/com/enviouse/futureshops/server/transaction/ShopTransactionUtil.java	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1450	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/transaction/ShopTransactionUtil.java
DELTA-1451	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/transaction/TransactionHistorySavedData.java	production semantic change	none	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1451	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/transaction/TransactionHistorySavedData.java
DELTA-1452	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/transaction/TransactionHistoryService.java	production semantic change	none	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1452	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/transaction/TransactionHistoryService.java
DELTA-1453	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/java/com/enviouse/futureshopsp/server/util/PageBounds.java	production semantic change	src/main/java/com/enviouse/futureshops/server/util/PageBounds.java	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1453	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshopsp/server/util/PageBounds.java
DELTA-1454	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/resources/assets/futureshops/animations/shop_block.animation.json	resource semantic change	src/main/resources/assets/futureshops/animations/shop_block.animation.json	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1454	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/assets/futureshops/animations/shop_block.animation.json
DELTA-1455	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/resources/assets/futureshops/blockstates/shop_block.json	resource semantic change	src/main/resources/assets/futureshops/blockstates/shop_block.json	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1455	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/assets/futureshops/blockstates/shop_block.json
DELTA-1456	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/resources/assets/futureshops/geo/shop_block.geo.json	resource semantic change	src/main/resources/assets/futureshops/geo/shop_block.geo.json	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1456	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/assets/futureshops/geo/shop_block.geo.json
DELTA-1457	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/resources/assets/futureshops/lang/en_us.json	resource semantic change	src/main/resources/assets/futureshops/lang/en_us.json	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1457	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/assets/futureshops/lang/en_us.json
DELTA-1458	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/resources/assets/futureshops/models/block/shop_block.json	resource semantic change	src/main/resources/assets/futureshops/models/block/shop_block.json	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1458	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/assets/futureshops/models/block/shop_block.json
DELTA-1459	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/resources/assets/futureshops/models/item/money.json	resource semantic change	src/main/resources/assets/futureshops/models/item/money.json	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1459	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/assets/futureshops/models/item/money.json
DELTA-1460	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/resources/assets/futureshops/models/item/shop_block.json	resource semantic change	src/main/resources/assets/futureshops/models/item/shop_block.json	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1460	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/assets/futureshops/models/item/shop_block.json
DELTA-1461	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/resources/assets/futureshops/textures/block/shop_block.png	donor documentation or evidence delta	src/main/resources/assets/futureshops/textures/block/shop_block.png	non_product	rejected non scope item	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1461	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/assets/futureshops/textures/block/shop_block.png
DELTA-1462	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/resources/assets/futureshops/textures/item/dollar_bill.png	donor documentation or evidence delta	src/main/resources/assets/futureshops/textures/item/dollar_bill.png	non_product	rejected non scope item	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1462	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/assets/futureshops/textures/item/dollar_bill.png
DELTA-1463	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/resources/data/carryon/tags/block/block_blacklist.json	resource semantic change	src/main/resources/data/carryon/tags/blocks/block_blacklist.json	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1463	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/data/carryon/tags/block/block_blacklist.json
DELTA-1464	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/resources/data/futureshops/loot_table/blocks/shop_block.json	resource semantic change	src/main/resources/data/futureshops/loot_tables/blocks/shop_block.json	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1464	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/data/futureshops/loot_table/blocks/shop_block.json
DELTA-1465	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/resources/data/futureshops/recipe/shop_block.json	resource semantic change	src/main/resources/data/futureshops/recipes/shop_block.json	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1465	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/data/futureshops/recipe/shop_block.json
DELTA-1466	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/resources/data/minecraft/tags/block/mineable/pickaxe.json	resource semantic change	src/main/resources/data/minecraft/tags/blocks/mineable/pickaxe.json	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1466	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/data/minecraft/tags/block/mineable/pickaxe.json
DELTA-1467	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/resources/data/minecraft/tags/block/needs_diamond_tool.json	resource semantic change	src/main/resources/data/minecraft/tags/blocks/needs_diamond_tool.json	applicable	adapted later	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-1467	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/data/minecraft/tags/block/needs_diamond_tool.json
DELTA-1468	cc2d69425beea2c93a4000e44d49381deba8eed2	none	resource preservation	src/main/resources/data/tacz/tags/blocks/interact_key/whitelist.json	applicable	Forge only preservation	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1468	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/data/tacz/tags/blocks/interact_key/whitelist.json
DELTA-1469	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/resources/futureshops-danconomy.mixins.json	resource semantic change	none	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1469	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/futureshops-danconomy.mixins.json
DELTA-1470	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/resources/futureshops-pixelmon.mixins.json	resource semantic change	none	applicable	adapted later	CORE-REQ-008	CORE-PHASE-004	P004-TASK-001	REG-P000-DELTA-1470	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/futureshops-pixelmon.mixins.json
DELTA-1471	cc2d69425beea2c93a4000e44d49381deba8eed2	none	resource preservation	src/main/resources/futureshops.mixins.json	applicable	Forge only preservation	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1471	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/futureshops.mixins.json
DELTA-1472	cc2d69425beea2c93a4000e44d49381deba8eed2	none	resource preservation	src/main/resources/pack.mcmeta	applicable	Forge only preservation	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1472	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/resources/pack.mcmeta
DELTA-1473	cc2d69425beea2c93a4000e44d49381deba8eed2	src/main/templates/META-INF/neoforge.mods.toml	configuration semantic change	src/main/resources/META-INF/mods.toml	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1473	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/templates/META-INF/neoforge.mods.toml
DELTA-1474	cc2d69425beea2c93a4000e44d49381deba8eed2	src/test/fixtures/finaleconomy-bridge/plugin.yml	test semantic change	none	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1474	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/test/fixtures/finaleconomy-bridge/plugin.yml
DELTA-1475	cc2d69425beea2c93a4000e44d49381deba8eed2	src/test/fixtures/finaleconomy-bridge/src/com/enviouse/futureshopsbridge/FutureShopsFinalEconomyBridgePlugin.java	test semantic change	none	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1475	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/test/fixtures/finaleconomy-bridge/src/com/enviouse/futureshopsbridge/FutureShopsFinalEconomyBridgePlugin.java
DELTA-1476	cc2d69425beea2c93a4000e44d49381deba8eed2	src/test/fixtures/finaleconomy-bridge/src/com/enviouse/futureshopsbridge/FutureShopsFinalEconomyBridgeService.java	test semantic change	none	applicable	adapted later	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1476	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/test/fixtures/finaleconomy-bridge/src/com/enviouse/futureshopsbridge/FutureShopsFinalEconomyBridgeService.java
DELTA-1477	cc2d69425beea2c93a4000e44d49381deba8eed2	src/test/fixtures/vault-proof/META-INF/neoforge.mods.toml	test semantic change	none	applicable	adapted later	CORE-REQ-008	CORE-PHASE-004	P004-TASK-001	REG-P000-DELTA-1477	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/test/fixtures/vault-proof/META-INF/neoforge.mods.toml
DELTA-1478	cc2d69425beea2c93a4000e44d49381deba8eed2	src/test/fixtures/vault-proof/src/com/enviouse/futureshopsp/vaultproof/VaultFailureGameTests.java	test semantic change	none	applicable	adapted later	CORE-REQ-008	CORE-PHASE-004	P004-TASK-001	REG-P000-DELTA-1478	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/test/fixtures/vault-proof/src/com/enviouse/futureshopsp/vaultproof/VaultFailureGameTests.java
DELTA-1479	cc2d69425beea2c93a4000e44d49381deba8eed2	src/test/fixtures/vault-proof/src/com/enviouse/futureshopsp/vaultproof/VaultProofRegistrant.java	test semantic change	none	applicable	adapted later	CORE-REQ-008	CORE-PHASE-004	P004-TASK-001	REG-P000-DELTA-1479	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/test/fixtures/vault-proof/src/com/enviouse/futureshopsp/vaultproof/VaultProofRegistrant.java
DELTA-1480	cc2d69425beea2c93a4000e44d49381deba8eed2	src/test/fixtures/vault-proof/src/com/enviouse/futureshopsp/vaultproof/VaultSurfaceGameTests.java	test semantic change	none	applicable	adapted later	CORE-REQ-008	CORE-PHASE-004	P004-TASK-001	REG-P000-DELTA-1480	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/test/fixtures/vault-proof/src/com/enviouse/futureshopsp/vaultproof/VaultSurfaceGameTests.java
DELTA-1481	cc2d69425beea2c93a4000e44d49381deba8eed2	none	test preservation	src/test/java/com/enviouse/futureshops/AdminShopIconNbtTest.java	applicable	Forge only preservation	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1481	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/test/java/com/enviouse/futureshops/AdminShopIconNbtTest.java
DELTA-1482	cc2d69425beea2c93a4000e44d49381deba8eed2	none	test preservation	src/test/java/com/enviouse/futureshops/BuyPacketCallSiteTest.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-1482	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/test/java/com/enviouse/futureshops/BuyPacketCallSiteTest.java
DELTA-1483	cc2d69425beea2c93a4000e44d49381deba8eed2	none	test preservation	src/test/java/com/enviouse/futureshops/ClientPresentationConfigTest.java	applicable	Forge only preservation	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1483	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/test/java/com/enviouse/futureshops/ClientPresentationConfigTest.java
DELTA-1484	cc2d69425beea2c93a4000e44d49381deba8eed2	none	test preservation	src/test/java/com/enviouse/futureshops/CommandLangKeyCoverageTest.java	applicable	Forge only preservation	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1484	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/test/java/com/enviouse/futureshops/CommandLangKeyCoverageTest.java
DELTA-1485	cc2d69425beea2c93a4000e44d49381deba8eed2	none	test preservation	src/test/java/com/enviouse/futureshops/CommunityBugRegressionTest.java	applicable	Forge only preservation	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1485	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/test/java/com/enviouse/futureshops/CommunityBugRegressionTest.java
DELTA-1486	cc2d69425beea2c93a4000e44d49381deba8eed2	none	test preservation	src/test/java/com/enviouse/futureshops/DependencyAlertRecordTest.java	applicable	Forge only preservation	CORE-REQ-002	CORE-PHASE-001	P001-TASK-003	REG-P000-DELTA-1486	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/test/java/com/enviouse/futureshops/DependencyAlertRecordTest.java
DELTA-1487	cc2d69425beea2c93a4000e44d49381deba8eed2	none	test preservation	src/test/java/com/enviouse/futureshops/DependencyMaintenanceBaselineTest.java	applicable	Forge only preservation	CORE-REQ-002	CORE-PHASE-001	P001-TASK-003	REG-P000-DELTA-1487	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/test/java/com/enviouse/futureshops/DependencyMaintenanceBaselineTest.java
DELTA-1488	cc2d69425beea2c93a4000e44d49381deba8eed2	none	test preservation	src/test/java/com/enviouse/futureshops/GeneratedTomlWarningTest.java	applicable	Forge only preservation	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1488	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/test/java/com/enviouse/futureshops/GeneratedTomlWarningTest.java
DELTA-1489	cc2d69425beea2c93a4000e44d49381deba8eed2	none	test preservation	src/test/java/com/enviouse/futureshops/HandshakePresentationSourceTest.java	applicable	Forge only preservation	CORE-REQ-016	CORE-PHASE-008	P008-TASK-003	REG-P000-DELTA-1489	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/test/java/com/enviouse/futureshops/HandshakePresentationSourceTest.java
